,Unnamed: 0,last_name_x, first_name_x,player_id,power_score,contact_score,discipline_score,composite_score_scaled,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,woba,home_run,strikeout,walk,double,bb_percent,k_percent,hit,year_x
250,5,Escobar, Alcides,444876,24.403001483499935,76.83143244613673,17.17749924696275,29.634452825314664,0.288,0.34,0.404,0.744,0.325,4,56,17,21,4.9,16.0,92,2021
251,87,Myers, Wil,571976,44.68474823268019,31.444989310025072,62.964874995816466,29.58344750764361,0.256,0.334,0.434,0.768,0.33,17,141,54,24,10.8,28.2,113,2021
252,119,Eaton, Adam,594809,32.950784086810884,50.90143291580803,28.714632350480272,29.224870614953044,0.201,0.282,0.327,0.609,0.271,6,71,22,10,7.6,24.7,51,2021
253,234,Larnach, Trevor,663616,50.59963487816482,14.901845542086395,41.25571471602129,28.69484494255255,0.223,0.322,0.35,0.672,0.3,7,104,31,12,10.3,34.6,58,2021
254,68,Garcia, Leury,544725,30.806574472367743,49.60793820539002,38.32173098162588,28.601717143673746,0.267,0.335,0.376,0.711,0.312,5,97,41,22,8.6,20.5,111,2021
255,31,Gonzalez, Marwin,503556,32.94309723644621,53.29512252482462,17.22554302352824,27.5189742296904,0.199,0.275,0.304,0.579,0.259,5,78,20,14,6.5,25.4,55,2021
256,104,Goodrum, Niko,592348,49.32657561333318,23.549066749527437,36.92514809732588,27.254920999131265,0.214,0.292,0.359,0.651,0.286,9,107,29,11,8.9,32.9,62,2021
257,257,Chisholm Jr., Jazz,665862,47.87182959137038,29.820905966930795,39.410171023126615,27.02923637963223,0.248,0.303,0.425,0.728,0.312,18,145,34,20,6.7,28.6,115,2021
258,183,Sosa, Edmundo,624641,33.01032347818817,50.90954676298163,18.168195053381968,26.64879657988383,0.271,0.346,0.389,0.735,0.322,6,63,17,8,5.2,19.3,78,2021
259,142,Zimmer, Bradley,605548,46.821125843632494,19.186800124312335,44.40009705813448,25.795679344618613,0.227,0.325,0.344,0.669,0.3,8,122,30,9,8.6,35.1,68,2021
260,159,Mayfield, Jack,608686,30.896928396828493,51.38572973887714,21.362277854011182,25.327398805080716,0.218,0.272,0.387,0.659,0.284,10,68,17,15,5.9,23.4,58,2021
261,265,Baddoo, Akil,668731,43.46113144339381,38.94683442292352,44.62043575755549,24.540611949144296,0.259,0.33,0.436,0.766,0.329,13,122,45,20,9.8,26.5,107,2021
262,217,Castro, Willi,650489,34.07670328237998,42.05772072003812,20.250644265202983,23.976586479566823,0.22,0.273,0.351,0.624,0.271,9,109,23,15,5.1,24.2,91,2021
